algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.00944400076275941,0.008632175279848997,0.009447039162292625,0.008629706303974149,,,10.0,0.1,2,2,,alg3_port_dmrs,0.27753472317764605,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.012163223453946001,0.011312925169730507,0.012161507888774492,0.011301152770013262,,,5.0,0.05,4,2,,alg3_port_dmrs,0.27569523608779184,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,311,87,,,,520.8333333333334,64,0.0925743655833392,0.09066584722728807,0.0925812383593361,0.09082310559452994,,,30.0,0.05,4,2,,alg3_port_dmrs,0.2627256541989142,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.04313914699269408,0.03777469421142687,0.04313940490693298,0.037781622409586296,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.25494550744258593,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,311,87,,,,1041.6666666666667,128,0.031113496318843286,0.029579578427855018,0.031185242718637395,0.029546886826958427,,,30.0,0.05,4,2,,alg3_port_dmrs,0.2543922330286972,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.0036190415755420267,0.0033898957664307084,0.0036048740047104773,0.0034639110565008774,,,10.0,0.05,4,2,,alg3_port_dmrs,0.24861215156984348,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.00904264807543587,0.008172827367239146,0.009032056459482128,0.008129586727309287,,,10.0,0.1,2,2,,alg3_port_dmrs,0.2440547701402423,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,311,87,,,,2083.3333333333335,256,0.18390192703579797,0.17505710128116958,0.18388642341669198,0.1756573140235697,,,30.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.22127851593667677,,48,576,,equal_total_overhead,,48,24,-6.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,311,87,,,,1041.6666666666667,128,0.11651569930136021,0.11512838416751137,0.11647274453654605,0.11472588730595379,,,30.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.2208802262337468,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.07679004627370825,0.07562938737362661,0.07690650557458348,0.0752247260562823,,,10.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.22076962435383887,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.023460217284162997,0.02151307100016792,0.02347496701579564,0.021537343909055984,,,5.0,0.1,2,2,,alg3_port_dmrs,0.21776402427730004,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.0020183329413723332,0.0016822193578426266,0.002017537909206988,0.0016779440381876564,,,10.0,0.1,2,2,,alg3_port_dmrs,0.20548237406153966,,48,576,,equal_total_overhead,,288,144,8.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.03250850997538244,0.030546330747189057,0.03251390904388833,0.03060561246063198,,,10.0,0.1,2,2,,alg3_port_dmrs,0.20400581670066367,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,93,26,,,,2083.3333333333335,256,0.21851858543582026,0.212551393107025,0.21832578815151119,0.21321126559030615,,,100.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.20020623258090992,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.0076960895930853375,0.007230564517116789,0.007696048823068112,0.007230384892124128,,,1.0,0.05,4,2,,alg3_port_dmrs,0.19757516774939293,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.002649056920263137,0.0023556815319633953,0.0026479424938761352,0.0023566856344831967,,,5.0,0.05,4,2,,alg3_port_dmrs,0.19610629765388385,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.05568267335099945,0.04934261960390275,0.05569478532197638,0.04945230343362106,,,5.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.1926789503412863,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,311,87,,,,2083.3333333333335,256,0.052268246868485004,0.04930716988905713,0.05227410496994184,0.0493437373440645,,,30.0,0.1,2,2,,alg3_port_dmrs,0.18832017225512715,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.014642748905709591,0.014252182109955316,0.014527472069180094,0.014353708107402732,,,1.0,0.1,2,2,,alg3_port_dmrs,0.18613883580993004,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,311,87,,,,520.8333333333334,64,0.07517002851543367,0.07243957541663507,0.07502837019560415,0.07231774938296674,,,30.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.17752798801773256,,48,576,,equal_total_overhead,,48,24,0.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.007465182486145944,0.006874897740062204,0.007447435652224728,0.0067592025909238625,,,1.0,0.05,4,2,,alg3_port_dmrs,0.1761893474162765,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.061449713201141606,0.05363208832249832,0.06149798751651343,0.05362995540818276,,,10.0,0.05,4,2,,alg3_port_dmrs,0.17216719453579882,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,,,,,260.4166666666667,32,0.021595412051578805,0.019097299922355516,0.0215190197634874,0.018527237566951453,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.16947576641755957,,48,576,,equal_total_overhead,,48,24,0.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.012980972108670323,0.012074498453210134,0.012994703986887736,0.012069397275528228,,,5.0,0.05,4,2,,alg3_port_dmrs,0.1620511112682032,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,311,87,,,,2083.3333333333335,256,0.0030762313549271892,0.0028946635108526636,0.0030798696235042108,0.0028944365403583997,,,30.0,0.1,2,2,,alg3_port_dmrs,0.15988330745261636,,48,576,,equal_total_overhead,,288,144,8.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.02358805311492586,0.022692312592870887,0.02373234338720128,0.023761525286625118,,,5.0,0.1,2,2,,alg3_port_dmrs,0.15640120171999505,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.0019635821224620333,0.0017369324654358926,0.0019627084604920035,0.0017500884272409235,,,10.0,0.1,2,2,,alg3_port_dmrs,0.1559442578922689,,48,576,,equal_total_overhead,,288,144,8.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.003788989693892406,0.003397006757407406,0.0037892658429214054,0.0033970607002030352,,,1.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.1464899544115766,,48,576,,equal_total_overhead,,48,24,8.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,311,87,,,,1041.6666666666667,128,0.015861917296554506,0.015803934013112367,0.015908280477533357,0.015825242757094918,,,30.0,0.1,2,2,,alg3_port_dmrs,0.14476483876801952,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.0011749429776872977,0.0010843666646701512,0.001174582013376718,0.0010830582687936289,,,1.0,0.05,4,2,,alg3_port_dmrs,0.14043752253915676,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.07242320584983716,0.06570270111551701,0.07242695994477553,0.06565806803929647,,,10.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.13852452707642993,,48,576,,equal_total_overhead,,96,48,-6.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.0013043723277837973,0.0012117000293414481,0.0013046866607217462,0.0012117038569447519,,,1.0,0.05,4,2,,alg3_port_dmrs,0.13667964954868797,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,22,10,,,,,,520.8333333333334,64,0.01676409356985486,0.014805425506131259,0.016761745604116675,0.014805839663151587,,,1.0,0.1,2,2,,alg3_port_dmrs,0.12935527294817784,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,93,26,,,,2083.3333333333335,256,0.013979999665900841,0.013824484601015928,0.013994277082506935,0.01386007841716097,,,100.0,0.05,4,2,,alg3_port_dmrs,0.12241033414871179,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,267,,,,1041.6666666666667,128,0.01751032049606225,0.01694022539081045,0.01748872793647275,0.016900266212557257,,,10.0,0.05,4,2,,alg3_port_dmrs,0.12021778342712876,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,267,,,,2083.3333333333335,256,0.017161472264679945,0.015981565553541757,0.01715851507822629,0.01601603444385958,,,10.0,0.05,4,2,,alg3_port_dmrs,0.11988939624150677,,48,576,,equal_total_overhead,,144,72,0.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.03986606471272988,0.03616699508841728,0.03979586159918171,0.03619645800536897,,,5.0,0.05,4,2,,alg3_port_dmrs,0.11665159198594388,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,6,3,,,,,,2083.3333333333335,256,0.013777472815988252,0.012501320293858142,0.013778306881436952,0.012495736663670536,,,1.0,0.1,2,2,,alg3_port_dmrs,0.11511408957648851,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.00255717718899927,0.0020270136843147267,0.002560635966156078,0.002014364169919091,,,5.0,0.05,4,2,,alg3_port_dmrs,0.11291805688935391,,48,576,,equal_total_overhead,,144,72,8.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,18,311,87,,,,260.4166666666667,32,0.040721474546639866,0.03883707081436594,0.04062849393144483,0.039119343735291356,,,30.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.10570422027981011,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.012661397712201488,0.010490306448804596,0.012589565220179367,0.010422237556630555,,,1.0,0.03333333333333333,6,2,,alg3_port_dmrs,0.10450885237210311,,48,576,,equal_total_overhead,,96,48,0.0,,192,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,11,5,,,,,,1041.6666666666667,128,0.003403479765703799,0.0028992560219662823,0.0034033794006253343,0.0028965232978020857,,,1.0,0.1,2,2,,alg3_port_dmrs,0.10226468765135657,,48,576,,equal_total_overhead,,288,144,0.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,21,9,93,26,,,,520.8333333333334,64,0.333522083995192,0.3374464199774454,0.33254945357247395,0.3370614819532783,,,100.0,0.016666666666666666,12,2,,alg3_port_dmrs,0.1019125728119301,,48,576,,equal_total_overhead,,48,24,-6.0,,96,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,,,,,260.4166666666667,32,0.032179600693393755,0.025576601665212806,0.03198493666115753,0.02546064287220664,,,1.0,0.05,4,2,,alg3_port_dmrs,0.09961241876738769,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,43,19,,,,,,260.4166666666667,32,0.023130540915984463,0.021420820115695488,0.023262248470213992,0.021515221763907653,,,5.0,0.1,2,2,,alg3_port_dmrs,0.09758714103946389,,48,576,,equal_total_overhead,,288,144,-6.0,,576,1.0,50
Alg3 Port-DMRS RMMSE equal-total,,86,37,,,,,,130.20833333333334,16,0.0296965281736081,0.026278232740438515,0.029995050091756247,0.02693729222103943,,,1.0,0.05,4,2,,alg3_port_dmrs,0.09664497660980911,,48,576,,equal_total_overhead,,144,72,-6.0,,288,1.0,50
