case_id,cdd_delay_ns,cdd_delay_samples,delay_spread_ns,dmrs_spacing_sc,n_pilots_freq,n_unknown_taps,obs_cov_cond_nonzero,obs_cov_effective_rank,obs_cov_nullity,obs_cov_rank,obs_cov_s_max,obs_cov_s_min_nonzero,phi_cond_nonzero,phi_effective_rank,phi_nullity,phi_rank,phi_s_max,phi_s_min_nonzero,reg_obs_cov_4db_cond_nonzero,reg_obs_cov_4db_effective_rank,reg_obs_cov_4db_nullity,reg_obs_cov_4db_rank,reg_obs_cov_4db_s_max,reg_obs_cov_4db_s_min_nonzero,sample_period_ns,support_len_99pct,weighted_phi_cond_nonzero,weighted_phi_effective_rank,weighted_phi_nullity,weighted_phi_rank,weighted_phi_s_max,weighted_phi_s_min_nonzero
ds30_d16_sf6,130.20833333333334,16,30.0,6,96,34,5001891169018.617,3.425309875829939,82,14,36.2521938330381,7.24769744243573e-12,22527843449527.17,6.012056079725522,13,21,19.619312420869505,8.708917240492138e-13,183.1227876033296,4.86394401553959,0,96,36.45124741831484,0.19905358527674616,8.138020833333334,17,42940177504259.07,4.980125406923935,13,21,6.020979474557117,1.4021785247534013e-13
ds30_d32_sf6,260.4166666666667,32,30.0,6,96,34,27206364062996.84,3.527159486881617,79,17,35.671739630216365,1.3111542412509732e-12,8452546970203.8,7.141908661172976,10,24,18.442311657299726,2.1818644394773545e-12,180.2067175309682,5.006257288261238,0,96,35.870793215493094,0.19905358527674621,8.138020833333334,17,17745286836492.41,5.601128675217133,10,24,5.972582325109997,3.3657288158496493e-13
ds100_d16_sf6,130.20833333333334,16,100.0,6,96,114,1945735326787.037,6.268714414258449,75,21,23.72683209723481,1.2194275228797209e-11,19403152744569.36,11.383314649644523,84,30,26.127888572051948,1.3465795438509207e-12,120.19821521550192,8.78730887599771,0,96,23.925885682511563,0.19905358527674585,8.138020833333334,57,39016855330519.69,9.06151198283449,84,30,4.871019615771918,1.2484398279944717e-13
ds100_d32_sf6,260.4166666666667,32,100.0,6,96,114,4778093390715.853,7.674000059120509,72,24,19.626040557898463,4.107504595040596e-12,15522656714509.598,13.69074839903553,81,33,26.126241484538046,1.6831037344346402e-12,99.5967699632844,10.689936164224612,0,96,19.82509414317522,0.19905358527674735,8.138020833333334,57,27764836316985.258,11.184010801402852,81,33,4.430128729269439,1.5955897159599998e-13
ds30_d64_sf2,520.8333333333334,64,30.0,2,288,34,4527133753315.387,3.542027154385904,268,20,102.54396767468769,2.2650969302506465e-11,7586675279263.286,7.265193394421274,6,28,31.915535938173743,4.206788186309846e-12,516.1576020705627,5.081430233578431,0,288,102.74302125996452,0.1990535852766899,8.138020833333334,17,15152984208962.953,5.678947902668566,6,28,10.126399541529445,6.682775750231235e-13
