bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
1.0,1.0,1,"0,4",RMMSE_WB_KNOWN,nan,0.27249412413138974,tdl,528,nan,132,30.0,0.08333333333333333,4,2,nan,0.0,0.0,5,nr_256qam,1,12,4,1,2,1.0,2,6,qpsk_dft,1,default,0.0,0.0,1,192,CDD,single
0.0,0.0,0,"0,4",RMMSE_WB_KNOWN,nan,0.15509735769127483,tdl,528,nan,132,30.0,0.08333333333333333,4,2,nan,192.0,1.4545454545454546,5,nr_256qam,1,12,4,1,2,0.6309573444801932,2,6,qpsk_dft,1,default,2.0,0.0,0,192,CDD,single
