base_seed,bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,common_random_numbers,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
3959922147,0.0,0.0,0,"0,64",RECON_BASIS_LMMSE,0.006798287716512136,0.006503971195026509,tdl,20736,True,10126399541529.443,5184,30.0,0.1,2,2,5.6789479026685665,11200.0,2.1604938271604937,8,nr_256qam,3,576,4,10,2,0.251188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,6.0,0.0,0,11200,CDD,structural_basis
3797253389,0.0,0.0,0,"0,64",RECON_BASIS_LMMSE,0.005494146437717678,0.005192794848237004,tdl,20736,True,10126399541529.443,5184,30.0,0.1,2,2,5.6789479026685665,11200.0,2.1604938271604937,8,nr_256qam,3,576,4,10,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,8.0,0.0,0,11200,CDD,structural_basis
3559499272,1.0,1.0,30,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,0.0,0.0,8,nr_256qam,3,576,4,10,2,3.9810717055349722,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,-6.0,0.0,10,11200,CDD,ideal_csi
2111516606,1.0,1.0,30,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,0.0,0.0,8,nr_256qam,3,576,4,10,2,2.51188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,-4.0,0.0,10,11200,CDD,ideal_csi
2134486076,1.0,1.0,30,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,0.0,0.0,8,nr_256qam,3,576,4,10,2,1.5848931924611136,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,-2.0,0.0,10,11200,CDD,ideal_csi
1799863205,1.0,1.0,30,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,0.0,0.0,8,nr_256qam,3,576,4,10,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,0.0,0.0,10,11200,CDD,ideal_csi
3227057519,0.7,0.6333333333333333,19,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,4106.7,0.7921875,8,nr_256qam,3,576,4,10,2,0.6309573444801932,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,2.0,0.0,7,11200,CDD,ideal_csi
2527504953,0.3,0.26666666666666666,8,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,8213.4,1.584375,8,nr_256qam,3,576,4,10,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,4.0,0.0,3,11200,CDD,ideal_csi
3959922147,0.0,0.0,0,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,11200.0,2.1604938271604937,8,nr_256qam,3,576,4,10,2,0.251188643150958,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,6.0,0.0,0,11200,CDD,ideal_csi
3797253389,0.0,0.0,0,"0,64",IDEAL_CSI,0.0,0.0,tdl,20736,True,nan,5184,30.0,0.1,2,2,nan,11200.0,2.1604938271604937,8,nr_256qam,3,576,4,10,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30_d64_sf2,8.0,0.0,0,11200,CDD,ideal_csi
