algorithm,case_id,metadata,snr_db
Alg2 Basis LMMSE E95,ds30_d16_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 6004712903261.365, ""effective_rank"": 4.656313421061663, ""n_unknown_taps"": 24, ""pilot_count"": 96, ""support_len"": 12}",-4.0
Alg2 Basis LMMSE E99,ds30_d16_sf6,"{""basis_energy_threshold"": 0.99, ""cond_number"": 6020979474557.117, ""effective_rank"": 4.980125406923935, ""n_unknown_taps"": 34, ""pilot_count"": 96, ""support_len"": 17}",-4.0
Alg2 CoherenceBlock Bc0.9,ds30_d16_sf6,"{""bc_threshold"": 0.9, ""block_width_mhz"": 2.61, ""block_width_sc"": 87, ""cond_mean"": 3.4857149864592136, ""cond_number"": 5.221511189288461, ""n_blocks"": 7}",-4.0
Alg3 Port-DMRS RMMSE equal-total,ds30_d16_sf6,"{""overhead_mode"": ""equal_total_overhead"", ""pilot_count_per_port"": 48, ""total_pilot_re_relative"": 1.0}",-4.0
Alg3 Port-DMRS RMMSE equal-per-port,ds30_d16_sf6,"{""overhead_mode"": ""equal_per_port_density"", ""pilot_count_per_port"": 96, ""total_pilot_re_relative"": 2.0}",-4.0
Alg1 Direct RMMSE WB 576sc,ds30_d32_sf6,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 96, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-6.0
Alg2 Basis LMMSE E90,ds30_d32_sf6,"{""basis_energy_threshold"": 0.9, ""cond_number"": 16543646540.404442, ""effective_rank"": 4.449887610507725, ""n_unknown_taps"": 18, ""pilot_count"": 96, ""support_len"": 9}",-6.0
Alg2 Basis LMMSE E95,ds30_d32_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 5970689187408.663, ""effective_rank"": 5.000630523128774, ""n_unknown_taps"": 24, ""pilot_count"": 96, ""support_len"": 12}",-6.0
Alg2 Basis LMMSE E99,ds30_d32_sf6,"{""basis_energy_threshold"": 0.99, ""cond_number"": 5972582325109.997, ""effective_rank"": 5.601128675217133, ""n_unknown_taps"": 34, ""pilot_count"": 96, ""support_len"": 17}",-6.0
Alg2 CoherenceBlock Bc0.9,ds30_d32_sf6,"{""bc_threshold"": 0.9, ""block_width_mhz"": 2.61, ""block_width_sc"": 87, ""cond_mean"": 1.6717374969812766, ""cond_number"": 2.556256865553344, ""n_blocks"": 7}",-6.0
Alg3 Port-DMRS RMMSE equal-total,ds30_d32_sf6,"{""overhead_mode"": ""equal_total_overhead"", ""pilot_count_per_port"": 48, ""total_pilot_re_relative"": 1.0}",-6.0
Alg3 Port-DMRS RMMSE equal-per-port,ds30_d32_sf6,"{""overhead_mode"": ""equal_per_port_density"", ""pilot_count_per_port"": 96, ""total_pilot_re_relative"": 2.0}",-6.0
Alg1 Direct RMMSE WB 576sc,ds30_d32_sf6,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 96, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-4.0
Alg2 Basis LMMSE E90,ds30_d32_sf6,"{""basis_energy_threshold"": 0.9, ""cond_number"": 16543646540.404442, ""effective_rank"": 4.449887610507725, ""n_unknown_taps"": 18, ""pilot_count"": 96, ""support_len"": 9}",-4.0
Alg2 Basis LMMSE E95,ds30_d32_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 5970689187408.663, ""effective_rank"": 5.000630523128774, ""n_unknown_taps"": 24, ""pilot_count"": 96, ""support_len"": 12}",-4.0
Alg2 Basis LMMSE E99,ds30_d32_sf6,"{""basis_energy_threshold"": 0.99, ""cond_number"": 5972582325109.997, ""effective_rank"": 5.601128675217133, ""n_unknown_taps"": 34, ""pilot_count"": 96, ""support_len"": 17}",-4.0
Alg2 CoherenceBlock Bc0.9,ds30_d32_sf6,"{""bc_threshold"": 0.9, ""block_width_mhz"": 2.61, ""block_width_sc"": 87, ""cond_mean"": 1.6717374969812766, ""cond_number"": 2.556256865553344, ""n_blocks"": 7}",-4.0
Alg3 Port-DMRS RMMSE equal-total,ds30_d32_sf6,"{""overhead_mode"": ""equal_total_overhead"", ""pilot_count_per_port"": 48, ""total_pilot_re_relative"": 1.0}",-4.0
Alg3 Port-DMRS RMMSE equal-per-port,ds30_d32_sf6,"{""overhead_mode"": ""equal_per_port_density"", ""pilot_count_per_port"": 96, ""total_pilot_re_relative"": 2.0}",-4.0
Alg1 Direct RMMSE WB 576sc,ds100_d16_sf6,"{""covariance"": ""CDD-shifted PDP"", ""pilot_count"": 96, ""processing_bandwidth_rb"": 48.0, ""processing_bandwidth_sc"": 576}",-6.0
Alg2 Basis LMMSE E90,ds100_d16_sf6,"{""basis_energy_threshold"": 0.9, ""cond_number"": 4868504928767.8545, ""effective_rank"": 7.108959292157877, ""n_unknown_taps"": 58, ""pilot_count"": 96, ""support_len"": 29}",-6.0
Alg2 Basis LMMSE E95,ds100_d16_sf6,"{""basis_energy_threshold"": 0.95, ""cond_number"": 4870595285418.248, ""effective_rank"": 7.816231215219115, ""n_unknown_taps"": 74, ""pilot_count"": 96, ""support_len"": 37}",-6.0
