algorithm,basis_energy_threshold,bc05_sc_original,bc09_sc_original,bc_threshold,block_width_mhz,block_width_sc,case_id,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,n_blocks,n_prbs,n_sc,n_unknown_taps,noise_var_ls,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.19592045562862317,0.19592045562862317,0.2170195581470476,0.2170195581470476,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,96,48,,,-4.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,93,26,,,,ds100_d16_sf6,130.20833333333334,16,0.10665990198480002,0.10665990198480002,0.0970585474066615,0.0970585474066615,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,96,96,,,-4.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,nan,nan,0.23368615161888112,0.23368615161888112,,,CDD-shifted PDP,100.0,6,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,96,96,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.29397108318213633,0.29397108318213633,0.24525605545794893,0.24525605545794893,,4290211562820.0415,,100.0,6,2,9.28308357266004,alg2_basis_reduced_support,,48,576,58,1.9905358527674861,,96,96,,,,-6.0,29,,2
Alg2 Basis LMMSE E95,0.95,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.2930041801268899,0.2930041801268899,0.23944305017838463,0.23944305017838463,,4390804650977.662,,100.0,6,2,10.004025020014105,alg2_basis_reduced_support,,48,576,74,1.9905358527674861,,96,96,,,,-6.0,37,,2
Alg2 Basis LMMSE E99,0.99,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.2862148547443143,0.2862148547443143,0.2336143772974445,0.2336143772974445,,4430128729269.439,,100.0,6,2,11.184010801402852,alg2_basis_reduced_support,,48,576,114,1.9905358527674861,,96,96,,,,-6.0,57,,2
Alg2 CoherenceBlock Bc0.9,,93,26,0.9,0.78,26,ds100_d32_sf6,260.4166666666667,32,0.6877248645221798,0.6877248645221798,0.43279611902634146,0.43279611902634146,5.571384758115573,6.0366542891815,,100.0,6,2,,alg2_coherence_block,23,48,576,,1.9905358527674861,,,96,,,,-6.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.21455489869893188,0.21455489869893188,0.2323263887754567,0.2323263887754567,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,96,48,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.14518612999786729,0.14518612999786729,0.1467414708712515,0.1467414708712515,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,96,96,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,nan,nan,0.1260834738825538,0.1260834738825538,,,CDD-shifted PDP,100.0,6,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,96,96,,48.0,576,-4.0,,,2
Alg2 Basis LMMSE E90,0.9,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.20569194663066442,0.20569194663066442,0.13862072387630164,0.13862072387630164,,4290211562820.0415,,100.0,6,2,9.28308357266004,alg2_basis_reduced_support,,48,576,58,1.25594321575479,,96,96,,,,-4.0,29,,2
Alg2 Basis LMMSE E95,0.95,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.2049237553081343,0.2049237553081343,0.12961708591567656,0.12961708591567656,,4390804650977.662,,100.0,6,2,10.004025020014105,alg2_basis_reduced_support,,48,576,74,1.25594321575479,,96,96,,,,-4.0,37,,2
Alg2 Basis LMMSE E99,0.99,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.19887744890431672,0.19887744890431672,0.1263827928377159,0.1263827928377159,,4430128729269.439,,100.0,6,2,11.184010801402852,alg2_basis_reduced_support,,48,576,114,1.25594321575479,,96,96,,,,-4.0,57,,2
Alg2 CoherenceBlock Bc0.9,,93,26,0.9,0.78,26,ds100_d32_sf6,260.4166666666667,32,0.5712810306596638,0.5712810306596638,0.256749846688097,0.256749846688097,5.571384758115573,6.0366542891815,,100.0,6,2,,alg2_coherence_block,23,48,576,,1.25594321575479,,,96,,,,-4.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.1308198195828854,0.1308198195828854,0.1295583736405739,0.1295583736405739,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,96,48,,,-4.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,93,26,,,,ds100_d32_sf6,260.4166666666667,32,0.0888564430666467,0.0888564430666467,0.09765484182211541,0.09765484182211541,,,,100.0,6,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_per_port_density,,96,96,,,-4.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d64_sf2,520.8333333333334,64,nan,nan,0.057578946795245986,0.057578946795245986,,,CDD-shifted PDP,30.0,2,2,,alg1_direct_rmmse,,48,576,,1.9905358527674861,,288,288,,48.0,576,-6.0,,,2
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.11244267307411962,0.11244267307411962,0.11260948316148614,0.11260948316148614,,82487529.70488043,,30.0,2,2,4.480933434432168,alg2_basis_reduced_support,,48,576,18,1.9905358527674861,,288,288,,,,-6.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.07930561244315251,0.07930561244315251,0.07940925237424809,0.07940925237424809,,621387433560.6582,,30.0,2,2,5.0472074438825985,alg2_basis_reduced_support,,48,576,24,1.9905358527674861,,288,288,,,,-6.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.059153881699593756,0.059153881699593756,0.05900905119471937,0.05900905119471937,,10126399541529.445,,30.0,2,2,5.678947902668566,alg2_basis_reduced_support,,48,576,34,1.9905358527674861,,288,288,,,,-6.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d64_sf2,520.8333333333334,64,0.1483400941668629,0.1483400941668629,0.14158312726954786,0.14158312726954786,1.233767246711926,1.2430779026451355,,30.0,2,2,,alg2_coherence_block,7,48,576,,1.9905358527674861,,,288,,,,-6.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.059189571311195316,0.059189571311195316,0.057752602965386896,0.057752602965386896,,,,30.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_total_overhead,,288,144,,,-6.0,,1.0,2
Alg3 Port-DMRS RMMSE equal-per-port,,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.032640964051407886,0.032640964051407886,0.032953776803544055,0.032953776803544055,,,,30.0,2,2,,alg3_port_dmrs,,48,576,,1.9905358527674861,equal_per_port_density,,288,288,,,-6.0,,2.0,2
Alg1 Direct RMMSE WB 576sc,,311,87,,,,ds30_d64_sf2,520.8333333333334,64,nan,nan,0.044655755993694826,0.044655755993694826,,,CDD-shifted PDP,30.0,2,2,,alg1_direct_rmmse,,48,576,,1.25594321575479,,288,288,,48.0,576,-4.0,,,2
Alg2 Basis LMMSE E90,0.9,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.06937888541527001,0.06937888541527001,0.06920802180172433,0.06920802180172433,,82487529.70488043,,30.0,2,2,4.480933434432168,alg2_basis_reduced_support,,48,576,18,1.25594321575479,,288,288,,,,-4.0,9,,2
Alg2 Basis LMMSE E95,0.95,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.05524896733007717,0.05524896733007717,0.05565644136157012,0.05565644136157012,,621387433560.6582,,30.0,2,2,5.0472074438825985,alg2_basis_reduced_support,,48,576,24,1.25594321575479,,288,288,,,,-4.0,12,,2
Alg2 Basis LMMSE E99,0.99,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.04661934370614005,0.04661934370614005,0.046939981278714515,0.046939981278714515,,10126399541529.445,,30.0,2,2,5.678947902668566,alg2_basis_reduced_support,,48,576,34,1.25594321575479,,288,288,,,,-4.0,17,,2
Alg2 CoherenceBlock Bc0.9,,311,87,0.9,2.61,87,ds30_d64_sf2,520.8333333333334,64,0.11792183413607965,0.11792183413607965,0.11184251983424273,0.11184251983424273,1.233767246711926,1.2430779026451355,,30.0,2,2,,alg2_coherence_block,7,48,576,,1.25594321575479,,,288,,,,-4.0,,,2
Alg3 Port-DMRS RMMSE equal-total,,311,87,,,,ds30_d64_sf2,520.8333333333334,64,0.03887313507364849,0.03887313507364849,0.039604270963980344,0.039604270963980344,,,,30.0,2,2,,alg3_port_dmrs,,48,576,,1.25594321575479,equal_total_overhead,,288,144,,,-4.0,,1.0,2
