algorithm,basis_energy_threshold,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,bc_threshold,block_width_mhz,block_width_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,cond_mean,cond_number,covariance,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,effective_rank,family,gain_vs_alg1_db,n_blocks,n_prbs,n_sc,n_unknown_taps,overhead_mode,pilot_count,pilot_count_combined,pilot_count_per_port,processing_bandwidth_rb,processing_bandwidth_sc,snr_db,support_len,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg2 Basis LMMSE E70,0.7,22,10,,267,,,,520.8333333333334,64,0.07274169898164647,0.06376451156869545,0.07241568307371636,0.06381577764807629,,8.542109220095462,,10.0,0.016666666666666666,12,2,2.4635079822840367,alg2_basis_reduced_support,-2.040522246172584,,48,576,4,,48,48,,,,0.0,2,96,,30
Alg2 Basis LMMSE E90,0.9,22,10,,267,,,,520.8333333333334,64,0.05365416917257714,0.04738990981102384,0.05344097610793852,0.04697037308299498,,86.34420510244244,,10.0,0.016666666666666666,12,2,2.739470398456584,alg2_basis_reduced_support,-0.7209397502035002,,48,576,6,,48,48,,,,0.0,3,96,,30
Alg2 Basis LMMSE E95,0.95,22,10,,267,,,,520.8333333333334,64,0.04837518217707801,0.04510383185306782,0.04817143154532108,0.04432893953030712,,939.2900749374433,,10.0,0.016666666666666666,12,2,2.9412544801880434,alg2_basis_reduced_support,-0.2700914577242895,,48,576,8,,48,48,,,,0.0,4,96,,30
Alg2 Basis LMMSE E99,0.99,22,10,,267,,,,520.8333333333334,64,0.04586079947794805,0.0442047980447066,0.045620822239824194,0.043305475152672995,,133938.75465770924,,10.0,0.016666666666666666,12,2,3.1888880425767594,alg2_basis_reduced_support,-0.03382701473050187,,48,576,12,,48,48,,,,0.0,6,96,,30
Alg2 CoherenceBlock Bc0.9,,22,10,,267,0.9,8.01,267,520.8333333333334,64,0.09858440820164426,0.09056391550908205,0.09247642558819766,0.08385947297800819,1.3545900721591606,1.9646229188486346,,10.0,0.016666666666666666,12,2,,alg2_coherence_block,-3.102506280120397,3,48,576,,,,48,,,,0.0,,96,,30
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.04903652472714269,0.04421718935296866,0.04924250383916299,0.04490395032992797,,,,10.0,0.016666666666666666,12,2,,alg3_port_dmrs,-0.36559720463912226,,48,576,,equal_total_overhead,,48,24,,,0.0,,96,1.0,30
Alg1 Direct RMMSE WB 576sc,,22,10,,267,,,,520.8333333333334,64,nan,nan,0.07261026680834923,0.07410774129988293,,,CDD-shifted PDP,10.0,0.008333333333333333,24,2,,alg1_direct_rmmse,0.0,,48,576,,,24,24,,48.0,576,0.0,,48,,30
Alg2 Basis LMMSE E50,0.5,22,10,,267,,,,520.8333333333334,64,0.14032144599161997,0.13196431141441298,0.1401081596599908,0.13082539936027554,,1.0000000000000002,,10.0,0.008333333333333333,24,2,1.9999999999999998,alg2_basis_reduced_support,-2.854653960046824,,48,576,2,,24,24,,,,0.0,1,48,,30
Alg2 Basis LMMSE E70,0.7,22,10,,267,,,,520.8333333333334,64,0.10013618056657368,0.09747913646693909,0.09981877855394962,0.09557523238846483,,8.545700278829981,,10.0,0.008333333333333333,24,2,2.4627960771253323,alg2_basis_reduced_support,-1.3821421867245576,,48,576,4,,24,24,,,,0.0,2,48,,30
Alg2 Basis LMMSE E90,0.9,22,10,,267,,,,520.8333333333334,64,0.08226208451048646,0.08198382364909748,0.08191143680475665,0.08165519470618801,,86.5354510422653,,10.0,0.008333333333333333,24,2,2.7380727828256193,alg2_basis_reduced_support,-0.5234651135231957,,48,576,6,,24,24,,,,0.0,3,48,,30
Alg2 Basis LMMSE E95,0.95,22,10,,267,,,,520.8333333333334,64,0.07627084282186018,0.07784945600894733,0.07591240215469079,0.07772417493771375,,945.9838647293367,,10.0,0.008333333333333333,24,2,2.939265001381067,alg2_basis_reduced_support,-0.19314701771736278,,48,576,8,,24,24,,,,0.0,4,48,,30
Alg2 Basis LMMSE E99,0.99,22,10,,267,,,,520.8333333333334,64,0.07339295957564614,0.07398488502026052,0.07305188547961008,0.07433674380517385,,141438.46248309806,,10.0,0.008333333333333333,24,2,3.185964815828836,alg2_basis_reduced_support,-0.02633397030943943,,48,576,12,,24,24,,,,0.0,6,48,,30
Alg2 CoherenceBlock Bc0.9,,22,10,,267,0.9,8.01,267,520.8333333333334,64,0.1550848766518837,0.15147301899019747,0.1456784892952728,0.14540982495947546,1.0665268613789225,1.0946614850938199,,10.0,0.008333333333333333,24,2,,alg2_coherence_block,-3.0239739653370368,3,48,576,,,,24,,,,0.0,,48,,30
Alg3 Port-DMRS RMMSE equal-total,,22,10,,267,,,,520.8333333333334,64,0.07573016990329016,0.07258029173377073,0.07561870093861463,0.07254862146141672,,,,10.0,0.008333333333333333,24,2,,alg3_port_dmrs,-0.17631179714639145,,48,576,,equal_total_overhead,,24,12,,,0.0,,48,1.0,30
